#,Company,Symbol,Weight,Price,Change
261,Nucor Corporation,NUE,0.082148,   61.47,0.28 (0.45%)
262,Newmont Mining Corporation,NEM,0.082093,   36.32,-0.16 (-0.43%)
263,VeriSign Inc.,VRSN,0.081488,   178.45,-0.34 (-0.19%)
264,Freeport-McMoRan Inc.,FCX,0.081303,   13.24,0.02 (0.11%)
265,Ameriprise Financial Inc.,AMP,0.081052,   133.37,-1.52 (-1.13%)
266,International Paper Company,IP,0.080981,   47.66,0.92 (1.97%)
267,Ball Corporation,BLL,0.080881,   55.20,-0.07 (-0.12%)
268,IHS Markit Ltd.,INFO,0.080739,   53.14,0.03 (0.06%)
269,Cerner Corporation,CERN,0.080579,   57.29,-0.44 (-0.76%)
270,Tyson Foods Inc. Class A,TSN,0.079519,   62.33,-0.99 (-1.56%)
271,DXC Technology Co.,DXC,0.079417,   66.97,0.30 (0.45%)
272,Align Technology Inc.,ALGN,0.078797,   260.22,6.23 (2.45%)
273,Fifth Third Bancorp,FITB,0.078709,   28.00,0.17 (0.61%)
274,KeyCorp,KEY,0.078708,   17.73,0.08 (0.45%)
275,Essex Property Trust Inc.,ESS,0.078431,   280.34,-1.13 (-0.40%)
276,AMETEK Inc.,AME,0.077537,   80.06,0.66 (0.83%)
277,American Water Works Company Inc.,AWK,0.077296,   100.94,-0.04 (-0.04%)
278,Waters Corporation,WAT,0.076864,   240.30,4.89 (2.08%)
279,IDEXX Laboratories Inc.,IDXX,0.076792,   212.72,3.54 (1.69%)
280,Fastenal Company,FAST,0.076017,   62.89,0.23 (0.37%)
281,KLA-Tencor Corporation,KLAC,0.075865,   116.05,1.56 (1.36%)
282,Citizens Financial Group Inc.,CFG,0.075217,   37.43,0.20 (0.54%)
283,Ulta Beauty Inc,ULTA,0.074812,   309.70,-1.02 (-0.33%)
284,Cintas Corporation,CTAS,0.074542,   205.56,1.16 (0.57%)
285,First Republic Bank,FRC,0.074216,   104.04,0.37 (0.36%)
286,Ameren Corporation,AEE,0.074166,   71.20,-0.98 (-1.36%)
287,CBS Corporation Class B,CBS,0.074136,   51.20,-0.49 (-0.95%)
288,Hartford Financial Services Group Inc.,HIG,0.073844,   49.46,0.57 (1.17%)
289,NetApp Inc.,NTAP,0.072683,   66.61,0.59 (0.89%)
290,Mettler-Toledo International Inc.,MTD,0.072440,   692.11,13.28 (1.96%)
291,Omnicom Group Inc,OMC,0.071879,   75.85,0.22 (0.29%)
292,Republic Services Inc.,RSG,0.071782,   77.65,0.02 (0.03%)
293,Regions Financial Corporation,RF,0.071599,   16.53,0.29 (1.75%)
294,L3 Technologies Inc,LLL,0.070741,   212.95,-0.90 (-0.42%)
295,Entergy Corporation,ETR,0.070732,   92.14,-0.63 (-0.68%)
296,Cardinal Health Inc.,CAH,0.069824,   55.02,0.12 (0.22%)
297,McCormick & Company Incorporated,MKC,0.069805,   133.98,-1.77 (-1.30%)
298,Church & Dwight Co. Inc.,CHD,0.068389,   65.76,-0.52 (-0.78%)
